City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,enewetak,11.3474,162.3373,27.45,78,71,8.54,MH,1703201221
1,jamestown,42.097,-79.2353,0.29,88,0,3.6,US,1703201080
2,dangriga,16.9692,-88.2321,24.26,77,47,4.88,BZ,1703201221
3,vuokatti,64.146,28.2697,-7.08,99,96,1.68,FI,1703201221
4,hovd,48.0056,91.6419,-19.53,80,35,1.17,MN,1703201213
5,astrakhan,46.3497,48.0408,3.93,86,75,7.15,RU,1703201221
6,aykhal,66.0,111.5,-28.5,100,31,2.46,RU,1703201061
7,peace river,56.2501,-117.286,-1.83,80,75,1.54,CA,1703201171
8,adamstown,-25.066,-130.1015,22.12,84,100,5.28,PN,1703201222
9,presidencia de la plaza,-27.0015,-59.8424,24.38,75,50,1.92,AR,1703201222
10,port lincoln,-34.7333,135.8667,16.85,69,90,4.66,AU,1703201222
11,pucallpa,-8.3791,-74.5539,27.02,83,100,6.17,PE,1703200933
12,panshan,41.1881,122.0494,-18.63,85,3,1.77,CN,1703201222
13,ushuaia,-54.8,-68.3,10.81,54,0,7.2,AR,1703201222
14,mizan teferi,6.9833,35.5833,18.62,60,24,1.28,ET,1703201222
15,anadyr,64.75,177.4833,-26.72,76,56,5.0,RU,1703201222
16,igarka,67.4667,86.5833,-10.1,93,100,10.67,RU,1703201223
17,grytviken,-54.2811,-36.5092,5.11,89,88,5.78,GS,1703201223
18,san patricio,28.017,-97.5169,23.05,67,99,5.0,US,1703201223
19,port-aux-francais,-49.35,70.2167,7.35,97,97,10.06,TF,1703201223
20,waitangi,-43.9535,-176.5597,13.79,74,6,5.69,NZ,1703201223
21,bredasdorp,-34.5322,20.0403,18.26,79,0,4.98,ZA,1703201223
22,san ignacio de velasco,-16.3667,-60.95,25.85,75,96,1.06,BO,1703201223
23,bethel,41.3712,-73.414,-0.19,52,0,3.09,US,1703201223
24,panaba,21.2833,-88.2667,22.91,64,81,5.46,MX,1703201223
25,montevideo,-34.8335,-56.1674,20.01,83,20,4.12,UY,1703201135
26,edinburgh of the seven seas,-37.0676,-12.3116,14.31,73,20,7.61,SH,1703201224
27,bilibino,68.0546,166.4372,-36.57,100,96,0.42,RU,1703201224
28,ramanuj ganj,23.8,83.7,10.03,52,54,1.46,IN,1703201224
